,81A,82A,83A,87A,88A,89A,92A,93A,97A,143A,143E,143F,143G,144A,144B,144D,144H,144I,144J,144K,85A,86A,90A,90C,95A,96A,144L,144P,144Q,144R,144S,84A,91A,94A,90B,144M,143B,144F,144E,143C,144O,144G,144C,144T,144V,144W,144X,81B,144N,144U,90D,144Y,90E,90F,143D,90G
ams,3,2,2,2,1,1,1,None,4,1,1,4,4,9,3,None,None,None,None,None,2,2,None,None,4,None,None,None,None,None,None,1,2,1,None,None,None,None,None,None,None,None,None,1,1,6,4,None,None,None,None,None,None,None,None,None
bsq,1,1,1,2,2,1,4,2,2,1,1,4,4,7,3,None,None,None,None,None,1,1,2,None,1,1,3,4,4,1,11,3,1,2,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ctl,2,3,2,2,1,1,6,None,4,15,1,1,4,19,3,15,4,3,5,4,2,2,1,1,4,4,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,4,None,None,None,None,None,None,None,None,None,None,None,None,None,None
cze,2,1,2,1,1,1,6,2,3,3,2,4,4,20,None,5,4,2,7,4,2,3,1,1,4,4,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dut,7,1,3,1,1,1,6,None,5,6,1,1,4,16,6,13,4,8,7,1,2,2,1,1,5,5,15,4,4,1,11,6,None,1,None,9,None,None,15,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None
eng,2,1,2,1,1,1,6,1,3,1,1,4,4,2,3,2,4,1,7,4,2,3,1,1,4,4,None,None,None,None,None,1,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
fre,2,1,2,2,1,1,1,1,4,15,1,1,4,19,4,15,4,5,3,4,2,2,1,1,4,4,None,None,None,None,None,1,1,1,None,None,None,None,None,2,None,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None
fri,7,1,3,1,1,None,6,1,5,None,None,None,None,None,None,None,None,None,None,None,2,3,1,1,5,5,None,None,None,None,None,6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None
ger,7,1,3,1,1,1,6,1,5,6,1,1,4,16,6,13,4,8,7,1,2,2,1,1,5,5,15,4,4,1,11,6,1,1,None,9,None,None,15,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None
ita,2,3,2,2,1,1,6,None,4,1,1,4,4,2,3,2,4,1,7,4,2,2,1,1,4,4,None,None,None,None,None,None,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
kbl,3,2,2,2,None,None,6,None,4,14,1,1,4,18,None,None,None,None,None,None,2,2,1,1,4,4,None,None,None,None,None,1,None,None,None,None,1,None,None,None,None,None,None,22,5,2,4,None,None,1,None,None,None,None,None,None
kin,2,1,2,2,1,2,None,2,4,3,2,4,4,20,None,5,4,2,7,4,2,None,None,None,4,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
mnd,2,1,2,1,1,1,2,2,3,1,1,4,4,2,3,2,4,1,7,4,4,1,2,None,5,3,None,None,None,None,None,2,1,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
pol,2,3,2,1,1,1,1,1,3,1,1,4,4,2,3,2,4,1,7,4,2,2,1,1,4,4,None,None,None,None,None,None,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
por,2,1,2,2,1,None,1,None,4,1,1,4,4,2,3,2,4,1,7,4,2,2,1,1,4,4,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
prs,1,1,1,2,1,1,1,2,2,3,2,4,4,20,None,None,None,None,None,None,2,2,1,1,2,2,5,4,4,2,11,None,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
rus,2,1,2,1,1,1,3,1,3,1,1,4,4,2,3,2,4,1,7,4,2,2,1,1,4,4,None,None,None,None,None,None,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
spa,2,3,2,2,1,1,6,1,4,1,1,4,4,2,3,2,4,1,7,4,2,2,1,1,4,4,None,None,None,None,None,1,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
swe,2,1,2,1,1,1,6,1,3,6,1,1,4,16,None,13,4,1,1,4,2,1,1,1,4,4,None,None,None,None,None,1,1,1,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
tml,1,1,1,1,1,1,6,2,1,4,4,2,4,20,None,None,None,None,None,None,1,1,2,None,1,1,6,4,4,8,2,3,1,4,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
tur,1,1,1,1,1,1,2,2,1,4,4,2,4,20,None,None,None,None,None,None,1,1,2,None,1,1,6,4,4,8,2,3,1,5,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
tvo,1,1,1,1,1,1,None,None,1,None,None,None,None,None,None,None,None,None,None,None,1,1,2,None,1,1,None,None,None,None,None,None,1,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ukr,2,1,2,1,1,1,1,None,3,1,1,4,4,2,3,2,4,1,7,4,2,None,1,1,4,4,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
wel,3,2,2,2,2,1,1,1,4,1,1,4,4,9,3,None,None,None,None,None,2,2,1,1,4,4,None,None,None,None,None,1,3,1,None,None,None,None,None,None,None,None,None,1,1,6,4,None,None,None,None,None,None,None,None,None
