langpair,same,different,lfe,phono,inv,synt,av_dist
ca-cy,5.505,5.386,-2.146,0.616,0.646,0.590,0.617
ca-de,3.454,3.858,11.708,0.333,0.471,0.540,0.448
ca-en,3.407,3.652,7.188,0.280,0.458,0.530,0.423
ca-fa,4.666,5.124,9.817,0.616,0.646,0.660,0.641
ca-fr,3.877,4.365,12.603,0.333,0.410,0.580,0.441
ca-it,5.335,5.365,0.559,0.616,0.346,0.410,0.457
ca-kab,5.591,5.828,4.245,0.616,0.641,0.650,0.636
ca-rw,9.007,7.525,-16.452,0.616,0.443,0.770,0.610
cy-de,4.669,4.418,-5.381,0.546,0.615,0.650,0.604
cy-en,4.622,4.107,-11.159,0.569,0.598,0.570,0.579
cy-fa,5.882,5.510,-6.326,0.000,0.000,0.630,0.210
cy-fr,5.092,5.088,-0.086,0.546,0.603,0.560,0.569
cy-it,6.551,6.015,-8.170,0.000,0.674,0.500,0.391
cy-kab,6.806,6.339,-6.867,0.000,0.688,0.600,0.429
cy-rw,10.223,8.494,-16.910,0.000,0.655,0.790,0.482
de-en,2.571,2.679,4.183,0.328,0.436,0.420,0.395
de-fa,3.831,3.704,-3.306,0.546,0.615,0.580,0.580
de-fr,3.041,3.403,11.899,0.262,0.389,0.460,0.370
de-it,4.500,4.504,0.106,0.546,0.482,0.520,0.516
de-kab,4.755,5.076,6.750,0.546,0.651,0.780,0.659
de-rw,8.172,7.454,-8.779,0.546,0.475,0.810,0.610
en-fa,3.784,4.159,9.910,0.569,0.598,0.570,0.579
en-fr,2.995,3.588,19.806,0.427,0.475,0.460,0.454
en-it,4.453,4.809,7.989,0.569,0.506,0.510,0.528
en-kab,4.709,4.780,1.501,0.569,0.666,0.690,0.641
en-rw,8.125,6.965,-14.276,0.569,0.518,0.770,0.619
fa-fr,4.254,4.438,4.341,0.546,0.603,0.570,0.573
fa-it,5.712,6.126,7.237,0.000,0.674,0.610,0.428
fa-kab,5.968,6.248,4.698,0.000,0.688,0.770,0.486
fa-rw,9.384,8.178,-12.856,0.000,0.655,0.740,0.465
fr-it,4.923,5.402,9.732,0.546,0.438,0.550,0.511
fr-kab,5.179,5.370,3.687,0.546,0.662,0.690,0.633
fr-rw,8.595,7.976,-7.201,0.546,0.434,0.710,0.563
it-kab,6.637,7.031,5.940,0.000,0.651,0.740,0.464
it-rw,10.053,10.015,-0.378,0.000,0.459,0.800,0.420
kab-rw,10.309,9.545,-7.412,0.000,0.611,0.710,0.440