langpair,same,different,lfe,synt,phono,inv,av_dist
cmn-deu,13.2946896,13.8121226,3.8920276,0.6000000,0.3280000,0.5902000,0.5060667
cmn-eng,10.7315491,12.3491276,15.0731128,0.5500000,0.3900000,0.5926000,0.5108667
cmn-fin,10.1642010,11.7244606,15.3505390,0.5200000,0.2740000,0.5823000,0.4587667
cmn-fra,10.3382084,10.9112184,5.5426432,0.6500000,0.4270000,0.5726000,0.5498667
cmn-ita,11.6079983,11.1997785,-3.5167116,0.6000000,0.5690000,0.6245000,0.5978333
cmn-nld,8.2470710,9.8906605,19.9293727,0.6100000,0.5690000,0.5837000,0.5875667
cmn-por,10.0439211,12.1312308,20.7818210,0.5900000,0.5690000,0.5869000,0.5819667
cmn-rus,10.7102892,11.8135345,10.3007992,0.5100000,0.4050000,0.6065000,0.5071667
cmn-spa,11.3367790,12.4541986,9.8565883,0.6000000,0.4480000,0.5941000,0.5473667
deu-eng,12.3976059,12.2359881,-1.3036216,0.4200000,0.3280000,0.4364000,0.3948000
deu-fin,11.8302579,12.6584367,7.0005141,0.5400000,0.1860000,0.4201000,0.3820333
deu-fra,12.0042653,11.6022506,-3.3489316,0.4600000,0.2620000,0.3886000,0.3702000
deu-ita,13.2740552,13.6904444,3.1368651,0.5200000,0.5460000,0.4819000,0.5159667
deu-nld,9.9131278,9.8033213,-1.1076880,0.3500000,0.5460000,0.3086000,0.4015333
deu-por,11.7099779,12.7146888,8.5799551,0.5300000,0.5460000,0.4343000,0.5034333
deu-rus,12.3763460,14.8609020,20.0750362,0.4200000,0.3330000,0.5184000,0.4238000
deu-spa,13.0028358,13.3230151,2.4623806,0.5000000,0.4790000,0.6393000,0.5394333
eng-fin,9.2671173,12.0535843,30.0683252,0.5300000,0.2740000,0.4694000,0.4244667
eng-fra,9.4411247,8.9322988,-5.3894635,0.4600000,0.4270000,0.4753000,0.4541000
eng-ita,10.7109146,11.3860865,6.3035881,0.5100000,0.5690000,0.5064000,0.5284667
eng-nld,7.3499873,7.8482682,6.7793445,0.4900000,0.5690000,0.4861000,0.5150333
eng-por,9.1468374,11.2344355,22.8231686,0.4700000,0.5690000,0.4235000,0.4875000
eng-rus,9.8132055,11.9933421,22.2163555,0.4900000,0.2800000,0.5594000,0.4431333
eng-spa,10.4396953,12.2199777,17.0530113,0.4000000,0.3430000,0.5481000,0.4303667
fin-fra,8.8737767,9.6470651,8.7143102,0.5400000,0.3280000,0.3996000,0.4225333
fin-ita,10.1435665,10.7411400,5.8911577,0.5700000,0.5690000,0.4906000,0.5432000
fin-nld,6.7826392,8.9652604,32.1795261,0.6100000,0.5690000,0.4561000,0.5450333
fin-por,8.5794893,8.5091055,-0.8203727,0.5200000,0.5690000,0.4540000,0.5143333
fin-rus,9.2458574,9.3246694,0.8524031,0.3800000,0.2800000,0.5099000,0.3899667
fin-spa,9.8723472,11.3859548,15.3317903,0.4700000,0.4480000,0.5617000,0.4932333
fra-ita,10.3175740,9.6793072,-6.1862093,0.5500000,0.5460000,0.4379000,0.5113000
fra-nld,6.9566466,7.5717517,8.8419769,0.5100000,0.5460000,0.3411000,0.4657000
fra-por,8.7534967,8.6703244,-0.9501608,0.4600000,0.5460000,0.3947000,0.4669000
fra-rus,9.4198648,8.7652282,-6.9495330,0.5100000,0.3330000,0.5152000,0.4527333
fra-spa,10.0463546,8.4906357,-15.4854072,0.4100000,0.4790000,0.5804000,0.4898000
ita-nld,8.2264365,9.5421183,15.9933375,0.4300000,0.0000000,0.4305000,0.2868333
ita-por,10.0232866,10.3704663,3.4637310,0.3000000,0.0000000,0.3510000,0.2170000
ita-rus,10.6896547,9.9754223,-6.6815291,0.5600000,0.6160000,0.4693000,0.5484333
ita-spa,11.3161445,11.0362992,-2.4729740,0.4700000,0.5920000,0.5037000,0.5219000
nld-por,6.6623593,7.9260090,18.9670008,0.4900000,0.0000000,0.3863000,0.2921000
nld-rus,7.3287274,9.6808350,32.0943526,0.5700000,0.6160000,0.5297000,0.5719000
nld-spa,7.9552172,8.4003302,5.5952335,0.5800000,0.5920000,0.5570000,0.5763333
por-rus,9.1255775,9.0282972,-1.0660181,0.5000000,0.6160000,0.4700000,0.5286667
por-spa,9.7520673,10.4535403,7.1930702,0.4000000,0.5920000,0.4797000,0.4905667
rus-spa,10.4184354,12.8742419,23.5717397,0.4500000,0.3610000,0.5273000,0.4461000